Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2018-05-25T21:00:00Z,Warning,Male,Equipment,4900 S. East End,African American,Unsafe equipment,No
N/A,2018-05-25T21:43:00Z,Warning,Female,Traffic Sign/Signal,5500 South Shore Dr,African American,Ran stop sign,No
Four citations issued,2018-05-26T01:55:00Z,Citation,Male,Traffic Sign/Signal,5300 S. Ellis Ave.,African American,Ran stop sign,Yes
N/A,2018-05-26T12:25:00Z,Warning,Female,Traffic Sign/Signal,1313 E. 55th Street,Caucasian,Failed to Yield to a Pedestrian in Crosswalk,No
N/A,2018-05-26T13:55:00Z,Warning,Male,Lane Violation,Midway Plaisance and Woodlawn,Caucasian,Wrong way on one way road,No
N/A,2018-05-26T16:08:00Z,Warning,Male,Lane Violation,5200 S. Lake Park Ave,African American,Improper Left hand Turn,No
N/A,2018-05-26T17:12:00Z,Warning,Female,Lane Violation,5240 S. Greenwood Ave,African American,Driving wrong way one way street,No
N/A,2018-05-26T19:50:00Z,Warning,Male,Traffic Sign/Signal,5300 S. Berkeley,African American,Ran stop sign,No
N/A,2018-05-26T21:10:00Z,Warning,Female,Equipment,5300 S. Greenwood,African American,Unsafe equipment,No
N/A,2018-05-26T21:20:00Z,Warning,Male,Lane Violation,5715 S. Dorchester,Asian,Wrong way on one way road,No
N/A,2018-05-27T10:19:00Z,Warning,Male,speed,5900 S. Ellis Ave,African American,Speeding,No
Three citations issued,2018-05-27T15:41:00Z,Citation,Female,Traffic Sign/Signal,5305 S. Hyde Park Ave,African American,Ran red light,No
N/A,2018-05-27T20:23:00Z,Warning,Male,Lane Violation,5200 S. Berkeley,African American,Wrong way on one way road,No
N/A,2018-05-27T21:12:00Z,Warning,Male,Lane Violation,5500 S. Everett,African American,Failure to signal,Yes
N/A,2018-05-27T21:59:00Z,Warning,Male,Traffic Sign/Signal,5300 S. Woodlawn,African American,Ran stop sign,No
N/A,2018-05-27T23:09:00Z,Warning,Male,Traffic Sign/Signal,5800 S. Dorchester,Asian,Ran stop sign,No
N/A,2018-05-28T01:01:00Z,Warning,Male,Traffic Sign/Signal,5700 S. Harper,Asian,Ran stop sign,No
N/A,2018-05-28T11:07:00Z,Warning,Male,Lane Violation,5600 S. Shore Dr.,Hispanic,Wrong way on one way road,No
N/A,2018-05-28T12:46:00Z,Warning,Male,Lane Violation,6200 S. Kimbark Ave.,African American,Wrong way on one way road,No
N/A,2018-05-28T16:48:00Z,Warning,Male,Lane Violation,5800 S. Kenwood  Ave.,Asian,Wrong way on one way road,No
N/A,2018-05-28T18:21:00Z,Warning,Male,Lane Violation,4900 Cottage Grove,African American,Improper overtaking,No
N/A,2018-05-28T20:51:00Z,Warning,Female,Traffic Sign/Signal,5100 University,African American,Ran stop sign,No
N/A,2018-05-28T21:02:00Z,Warning,Female,Equipment,5100 University,African American,No headlights when required,No
N/A,2018-05-28T22:07:00Z,Warning,Male,Traffic Sign/Signal,51ST Woodlawn,African American,Ran red light,No
N/A,2018-05-29T12:51:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Greenwood,African American,Disobeying Traffic Control Signal,No
N/A,2018-05-29T13:47:00Z,Warning,Female,Traffic Sign/Signal,5500 S. Woodlawn,African American,"Failure to Yield to Pedestrian in
Crosswalk",No
N/A,2018-05-29T16:11:00Z,Warning,Female,moving violation,6200 S. Cottage Grove,African American,"Failure to Yield to Authorized
Emergency Vehicle",Yes
N/A,2018-05-29T19:06:00Z,Warning,Male,Lane Violation,5700 S. Ellis,Asian,Moving Violation,No
N/A,2018-05-29T22:41:00Z,Warning,Male,Traffic Sign/Signal,5511 S. University,African American,Moving Violation,No
N/A,2018-05-29T23:19:00Z,Warning,Female,Traffic Sign/Signal,5200 S. University,African American,Moving Violation,No
N/A,2018-05-31T10:56:00Z,Warning,Male,Traffic Sign/Signal,1419 E 51st,African American,Ran red light,No
N/A,2018-05-31T14:20:00Z,Warning,Female,Lane Violation,5900 S. Maryland,African American,Lane Violation,No
N/A,2018-05-31T14:43:00Z,Warning,Male,Equipment,5100 S. University,African American,Cracked Windshield,No
N/A,2018-05-31T14:44:00Z,Warning,Female,moving violation,5100 S. Hyde Park Blvd,African American,Passengers on the hood of the vehicle,No
Two citations issued,2018-05-31T20:42:00Z,Citation,Male,moving violation,1130 E. Midway Plaisance,African American,Using cell phone while driving,Yes
N/A,2018-06-01T18:39:00Z,Warning,Male,Equipment,6100 S. Ingleside,Hispanic,Inoperable Brake Lights,No
N/A,2018-06-01T19:13:00Z,Warning,Female,Traffic Sign/Signal,1365 E. 55th Street,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2018-06-01T20:24:00Z,Warning,Male,Lane Violation,5100 S. Lake Park,Caucasian,Improper Turn,No
N/A,2018-06-01T22:28:00Z,Warning,Female,Traffic Sign/Signal,5325 S. Woodlawn,Caucasian,Disobeyed traffic control device,No
N/A,2018-06-01T23:39:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Harper,African American,Disobeyed traffic control device,No
N/A,2018-06-02T01:41:00Z,Warning,Female,Traffic Sign/Signal,5500 S. Cornell,African American,Disobeyed traffic control device,No
N/A,2018-06-02T11:46:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Dorchester,African American,Failure to yield to pedestrian in crosswalk,No
One citation issued,2018-06-03T09:43:00Z,Citation,Male,Traffic Sign/Signal,1000 E. Midway Plaisance,African American,Disobeying Traffic Control Device,No
N/A,2018-06-03T12:20:00Z,Warning,Female,Lane Violation,5700 S. Harper,Caucasian,Improper Lane Usage,No
N/A,2018-06-04T08:46:00Z,Warning,Female,Equipment,5900 S. Woodlawn,Hispanic,No Brake Lights,No
N/A,2018-06-04T12:51:00Z,Warning,Male,Traffic Sign/Signal,5500 S. University,African American,Disobeyed  Traffic control,No
N/A,2018-06-04T14:30:00Z,Warning,Male,moving violation,5100 S. University,Caucasian,Asleep at the wheel,No
N/A,2018-06-04T16:03:00Z,Warning,Male,Traffic Sign/Signal,1123 E. 55th St.,African American,Disobeyed traffic control device,No
N/A,2018-06-04T21:38:00Z,Warning,Male,Traffic Sign/Signal,6100 S. Dorchester,African American,Disobeyed Stop Sign,No
N/A,2018-06-04T22:24:00Z,Warning,Male,Traffic Sign/Signal,6100 S. Kimbark,African American,Disobeyed traffic control device,Yes
N/A,2018-06-04T23:56:00Z,Warning,Male,Traffic Sign/Signal,W/B Midway at Stony Island,Hispanic,Disobeyed traffic control device,No
N/A,2018-06-04T00:15:00Z,Warning,Male,Traffic Sign/Signal,5000 S. Kenwood,African American,Ran stop sign,No
N/A,2018-06-04T00:41:00Z,Warning,Male,Traffic Sign/Signal,6300 S. Drexel,African American,Ran stop sign,No
N/A,2018-06-05T02:41:00Z,Warning,Male,Traffic Sign/Signal,6130 S. Kimbark,African American,Ran stop sign,No
N/A,2018-06-05T11:07:00Z,Warning,Male,Traffic Sign/Signal,6300 University,Caucasian,Ran red light,No
N/A,2018-06-06T16:52:00Z,Warning,Female,Traffic Sign/Signal,5600 S Hyde Park,Caucasian,Disobeyed traffic control device,No
N/A,2018-06-06T18:23:00Z,Warning,Male,Traffic Sign/Signal,6025 S. Ellis,Caucasian,Disobeyed traffic control device,No
N/A,2018-06-07T09:35:00Z,Warning,Male,Traffic Sign/Signal,1400 E. Midway Plaisance,Caucasian,Failure to yield to pedestrian in crosswalk,No
N/A,2018-06-07T11:55:00Z,Warning,Female,Traffic Sign/Signal,6200 S. Cottage Grove,African American,Disobeyed traffic control device,No
N/A,2018-06-07T12:44:00Z,Warning,Female,Lane Violation,1000 E. Ellis,Hispanic,Improper lane usage,No
N/A,2018-06-08T11:44:00Z,Warning,Male,Traffic Sign/Signal,5200 University,African American,Failed to stop at sign,No
N/A,2018-06-08T15:37:00Z,Warning,Male,Traffic Sign/Signal,1155 E 61st,African American,Failed to stop at red light,No
N/A,2018-06-08T20:45:00Z,Warning,Male,Traffic Sign/Signal,5100 S. Drexel,Asian,Ran red light,No
N/A,2018-06-08T21:21:00Z,Warning,Female,Traffic Sign/Signal,4850 S. Lake Park,African American,Ran stop sign,No
N/A,2018-06-08T22:09:00Z,Warning,Female,Traffic Sign/Signal,5300 S. Cottage Grove,African American,Ran stop sign,No
N/A,2018-06-08T23:24:00Z,Warning,Female,Lane Violation,1359 E. Hyde Park Blvd,African American,Improper turn,No
N/A,2018-06-09T00:37:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Woodlawn,African American,Ran red light,No
N/A,2018-06-08T01:15:00Z,Warning,Male,Equipment,5830 S. Woodlawn,African American,Unsafe equipment,No
Three citations issued,2018-06-08T01:32:00Z,Citation,Male,Traffic Sign/Signal,1216 E. 51st St.,African American,Ran red light,No
N/A,2018-06-09T10:42:00Z,Warning,Male,Lane Violation,5500 S University,Caucasian,Wrong way on one way road,No
N/A,2018-06-09T08:21:00Z,Warning,Female,Traffic Sign/Signal,Hyde Park Blvd/Dorchester,African American,Ran stop sign,No
N/A,2018-06-09T23:16:00Z,Warning,Male,license plate/registration,5500 S. Hyde Park Blvd,African American,No license plates,No
One citation issued,2018-06-10T09:46:00Z,Citation,Female,Traffic Sign/Signal,5118 S Lake Park,African American,Ran red light,No
N/A,2018-06-10T11:14:00Z,Warning,Male,Traffic Sign/Signal,5200 S Lake Park,Caucasian,Ran red light,No
Four citations issued,2018-06-10T17:49:00Z,Citation,Male,Lane Violation,5200 S. Harper,Hispanic,Wrong way on one way road,No
N/A,2018-06-10T18:50:00Z,Warning,Male,Traffic Sign/Signal,5100 S. Greenwood,African American,Ran stop sign,No
N/A,2018-06-10T20:33:00Z,Warning,Female,Traffic Sign/Signal,5500 S. Kenwood,African American,Ran stop sign,No
N/A,2018-06-10T21:02:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Kenwood,African American,Ran stop sign,No
