Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
2018-07-27T15:55:00Z,released,Male,UCPD,5800 S. Blackstone,African American,Suspicious person,No
2018-07-27T15:55:00Z,released,Male,UCPD,5800 S. Blackstone,African American,Suspicious person,No
2018-07-28T16:00:00Z,released,Male,UCPD,850 E. 61st Street,African American,Suspicious person on bike,No
2018-07-28T16:00:00Z,released,Male,UCPD,850 E. 61st Street,African American,Suspicious person on bike,No
2018-07-28T20:55:00Z,released,Male,citizen,915 E. 60th Street,African American,Disturbance,No
2018-07-28T20:55:00Z,released,Male,UCPD,4800 S. Drexel,African American,Suspicious person on bike,No
2018-07-28T20:55:00Z,released,Male,UCPD,4800 S. Drexel,African American,Suspicious person on bike,No
2018-07-28T21:17:00Z,released,Male,UCPD,4600 S. Woodlawn,African American,Suspicious person on bike,No
2018-07-28T21:17:00Z,released,Male,UCPD,4600 S. Woodlawn,African American,Suspicious person on bike,No
2018-07-29T12:45:00Z,released,Male,UCPD,6231 S. Woodlawn,African American,Suspicious person on bike,No
2018-07-29T12:45:00Z,released,Male,UCPD,6231 S. Woodlawn,African American,Suspicious person on bike,No
2018-07-29T14:17:00Z,released,Male,UCPD,5700 S. Kimbark,African American,Suspicious person on bike,No
2018-07-29T15:24:00Z,released,Male,UCPD,6000 S. Champlain,African American,Suspicious person,No
2018-07-30T02:50:00Z,released,Male,UCPD,5600 S. Hyde Park Blvd.,African American,Suspicious person,No
NA,released,Male,UCPD,5850 S Woodlawn,African American,Public urination,No
2018-07-31T23:51:00Z,released,Male,UCPD,5900 S Stony Island,African American,"Suspicious subject observed loitering on the street corner, casing the area near hot spot target area",No
2018-08-01T12:17:00Z,released,Male,UCPD,5200 S Harper,African American,"Assist CPD with stopping juvenile on stolen/lost Divvy bike, matched description by CPD officer",No
2018-08-01T19:46:00Z,released,Male,citizen,5500  S Shore,African American,Waved down by citizen reporting that individual was tampering with Divvy bike,No
2018-08-02T14:27:00Z,released,Male,UCPD,5500 S Ellis,Caucasian,"Subject observed loitering within a residence, in area of previous thefts",No
2018-08-03T19:49:00Z,released,Male,citizen,6300 Kenwood,African American,Complainant stated that suspect attempted to ram her with his car,No
2018-08-05T07:34:00Z,released,Female,UCPD,6110 S Woodlawn,African American,Matched description of suspicious subject observed looking into vehicles in hot spot area,No
2018-08-07T13:36:00Z,released,Male,citizen,1155 E 60th,African American,Passerby believed that the subject was trying to steal bicycles from listed location.,No
2018-08-07T22:29:00Z,released,Male,citizen,1223 E 57th,African American,Suspicious Auto,No
2018-08-08T08:53:00Z,released,Male,UCPD,5640 S University,African American,"Suspicious subject observed loitering near bartlett commons, with his head leaning against the window",No
2018-08-13T11:15:00Z,released,Male,UCPD,5700 S Drexel,African American,Suspicious subject observed walking with two bicycles near hot theft spot area,No
2018-08-17T20:30:00Z,released,Male,UCPD,5300 Dorchester,African American,Matched description of robbery offenders/riding bikes on sidwalk without illuminated headlamp.,No
2018-08-17T20:30:00Z,released,Male,UCPD,5300 Dorchester,African American,"Matched description of robbery
offenders/riding bikes on sidwalk without illuminated headlamp.",No
2018-08-21T02:08:00Z,referred,Male,citizen,5100 S Blackstone,African American,Observed tampering with Divvy bikes,No
2018-08-21T02:08:00Z,referred,Male,citizen,5100 S Blackstone,African American,Observed tampering with Divvy bikes,No
2018-08-21T02:08:00Z,referred,Male,citizen,5100 S Blackstone,African American,Observed tampering with Divvy bikes,No
2018-08-22T08:36:00Z,released,Male,citizen,5200 S Lake Park,African American,Panhandler - trespassing complaint,No
2018-08-26T11:07:00Z,released,Male,citizen,1311 E MADISON PARKWAY,Caucasian,Call of a suspicious person sleeping in a storage room. Subject was located in the location,No
2018-08-26T15:57:00Z,released,Male,UCPD,5241 S. Ingleside,African American,Subject detained by UCPD attempted to flee the area with subject that matched a theft offender,No
2018-08-29T04:40:00Z,Name Checked/Other,Male,citizen,5000 Dorchester,African American,Citizen claimed subject was looking into autos probably steal from same,No
2018-08-29T00:50:00Z,released,Male,UCPD,5700 S Cottage Grove,African American,Observed looking at multiple bikes in area of previous bike thefts,No
2018-08-31T01:51:00Z,released,Male,UCPD,5600 S Lake Park,African American,Subject was kneeling down suspiciously in a dark area behind vehicles on public property. Subject advised he was relieving himself.,No
2018-09-01T15:48:00Z,arrested,Male,UCPD,6333 S. Kimbark,African American,Subject fit the description of a theft offender,Yes
