Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2/21/2018 7:49 PM,Verbal Warning,Male,Lane Violation,5100 Kimbark,Hispanic,Wrong way on one way road,No
N/A,2/22/2018 1:36 AM,Verbal Warning,Female,Traffic sign/signal,5700 Drexel,African American,Ran stop sign,No
N/A,2/22/2018 11:51 AM,Verbal Warning,Male,Traffic sign/signal,6200 S Ellis,African American,Ran stop sign,No
Two citations issued,2/22/2018 3:41 PM,Citation issued,Female,License plate/registration,4508 S Drexel,African American,Expired registration,No
N/A,2/22/2018 4:14 PM,Verbal Warning,Male,Lane Violation,5900 S Ellis,African American,Wrong way on one way road,No
N/A,2/23/2018 8:27 AM,Verbal Warning,Male,Traffic Sign/Signal,6000 S Cottage Grove,African American,Disobeyed traffic control device,No
N/A,2/23/2018 9:07 AM,Verbal Warning,Female,Traffic sign/signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2/23/2018 9:19 AM,Verbal Warning,Male,Traffic Sign/Signal,5228 S Lake Park,Caucasian,Disobeyed traffic control device,No
N/A,2/23/2018 4:31 PM,Verbal Warning,Male,Traffic sign/signal,4700 S Drexel,African American,Ran stop sign,No
N/A,2/23/2018 4:35 PM,Verbal Warning,Male,Traffic sign/signal,6300 S University,African American,Disobeyed traffic control device,No
N/A,2/23/2018 7:10 PM,Verbal Warning,Male,Lane Violation,1100 E 55th,Caucasian,Improper U-Turn,No
N/A,2/23/2018 8:20 PM,Verbal Warning,Female,Equipment,5300 S Cornell,African American,No headlights when required,No
N/A,2/24/2018 2:42 AM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Lake Park,African American,Ran stop sign,No
N/A,2/24/2018 10:03 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2/24/2018 12:56 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Lake Park,Caucasian,Ran stop sign,No
N/A,2/24/2018 5:29 PM,Verbal Warning,Male,Equipment,5436 S Hyde Park,African American,No headlights when required,No
Two citations issued,2/25/2018 2:37 AM,Citation issued,Male,Traffic Sign/Signal,5100 S Cottage Grove,African American,Disobeyed traffic control device,No
N/A,2/25/2018 9:21 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Lake Park,African American,Ran stop sign,No
N/A,2/25/2018 3:33 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S Kimbark,Caucasian,Disobeyed traffic control device,No
N/A,2/25/2018 8:30 PM,Verbal Warning,Female,Equipment,1203 E 57th,African American,No headlights when required,No
N/A,2/25/2018 9:44 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Harper,Hispanic,Ran stop sign,No
N/A,2/26/2018 2:11 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Cottage Grove,African American,Ran red light,No
N/A,2/26/2018 2:11 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Cottage Grove,Caucasian,Ran red light,No
N/A,2/26/2018 4:09 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2/26/2018 8:06 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Cornell,Asian,Ran stop sign,No
N/A,2/26/2018 9:03 PM,Verbal Warning,Male,Seatbelt,5500 Kimbark,African American,Failure to secure child in seat,No
N/A,2/27/2018 8:41 AM,Verbal Warning,Male,Speed,1155 E Midway Plaisance,African American,Speeding,No
N/A,2/27/2018 9:08 AM,Verbal Warning,Female,Speed,1116 E Midway Plaisance,African American,Speeding,No
N/A,2/27/2018 8:01 PM,Verbal Warning,Male,Traffic Sign/Signal,5135 Blackstone,African American,Ran stop sign,No
N/A,2/27/2018 8:31 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 Lake Park,Hispanic,Ran stop sign,No
N/A,2/27/2018 8:56 PM,Verbal Warning,Male,Traffic Sign/Signal,6211 Woodlawn,Hispanic,Disobeyed traffic control device,No
N/A,2/27/2018 10:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5800 Ellis,African American,Disobeyed traffic control device,No
N/A,2/27/2018 10:32 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Harper,African American,Disobeyed traffic control device,No
N/A,2/28/2018 2:11 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 Lake Park,Asian,Ran stop sign,No
N/A,2/28/2018 1:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Lake Park,African American,Ran stop sign,No
N/A,2/28/2018 3:21 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Ran stop sign,No
N/A,2/28/2018 5:39 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Cottage Grove,African American,Ran red light,No
N/A,2/28/2018 9:58 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S University,African American,Ran stop sign,No
N/A,2/28/2018 10:19 PM,Verbal Warning,Male,License plate/registration,6240 S Stony Island,African American,Vehicle missing license plates,No
N/A,3/1/2018 1:58 PM,Verbal Warning,Female,Lane Violation,5200 S Lake Park,African American,Wrong way on one way road,No
One citation issued,3/1/2018 2:23 PM,Citation issued,Male,Traffic Sign/Signal,6500 S Stony Island,African American,Disobeyed traffic control device,No
N/A,3/1/2018 9:53 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S Dorchester,African American,Ran stop sign,No
