,Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
0,1/4/2019 9:14 PM,Name checked; released; no further action,Male,UCPD,5225 Harper,African American,Matched description of a previous robbery offender.,No
1,1/10/2019 3:18 PM,Name checked; released; no further action,Male,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
2,1/10/2019 3:18 PM,Name checked; released; no further action,Female,UCPD,5630 S Cottage Grove,African American,"Subject observed continuously walking up to several female citizens, asking questions, making citizens feel nervous",No
3,1/11/2019 10:33 AM,Name checked; released; no further action,Male,UCPD,5300 S Ellis,African American,"Subject observed walking around area, thru alleys, up and down blocks, w/o true destination, matched description of subject involved in robbery, in same area",No
4,1/12/2019 7:45 AM,Name checked; released; no further action,Male,UCPD,5600 S Hyde Park,African American,Subject fit the physical description and was in the area of a burglary that just occurred (call for service over Zone 5 radio) on 55th Street.,No
5,1/12/2019 3:11 PM,Name checked; released; no further action,Male,UCPD,4600 S Drexel,African American,Subject fit the physical description of an offender involved in an aggravated battery. Subject was observed fleeing from area prior to being stopped,No
6,1/20/2019 11:40 PM,Name checked; released; no further action,Male,UCPD,5700 Harper,African American,Observed subject rummaging through a vehicle,No
7,1/22/2019 11:56 AM,Name checked; show up conducted; released,Male,Citizen request for UCPD Response,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
8,1/22/2019 11:56 AM,Name checked; show up conducted; released,Male,Citizen request for UCPD Response,1221 E 51st,African American,Subject matched the physical/clothing description and was in proximity of a retail theft that just occurred. Show up conducted with negative results,No
9,1/26/2019 12:41 PM,"Arrested by CPD, UCPD FCC completed.",Male,Citizen request for UCPD Response,5840 S. Stony Island,African American,Subject matched the physical description of an offender in an armed robbery at 5700 S. Stony. Show up was conducted and subject positively identified by victim as the subject who robbed him.,Yes
10,1/27/2019 7:24 PM,Name checked; released; no further action,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
11,1/27/2019 7:24 PM,Name checked; released; no further action,Male,UCPD,5215 S. Ingleside,African American,Passenger in vehicle observed repeatedly circling within the robbery mission area in a manner consistent with possibly canvassing for potential victims,No
