,Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
84,11/6/2017 5:00 PM,Name checked; released; no further action,Male,UCPD,5900 S Ellis,African American,Suspicious person,No
85,11/6/2017 5:00 PM,Name checked; released; no further action,Male,UCPD,5900 S Ellis,African American,Suspicious person,No
86,11/6/2017 5:00 PM,Name checked; released; no further action,Male,UCPD,5900 S Ellis,African American,Suspicious person,No
87,There were no field interviews to report on 11-08-,,,,,,,
88,11/11/2017 6:32 PM,Name checked; show up conducted; released,Male,Citizen request for UCPD Response,5712 S Kenwood,African American,Suspicious person,Yes
89,11/15/2017 5:23 PM,Name checked; released; no further action,Male,UCPD,5431 S Blackstone,African American,Subject going up to numerous doors in area of recent package thefts,No
90,11/15/2017 11:26 PM,Name checked; released; no further action,Male,UCPD,5400 S Ellis,African American,Engaged in verbal argument with friend,No
91,11/15/2017 11:26 PM,Name checked; released; no further action,Female,UCPD,5400 S Ellis,African American,Engaged in verbal argument with friend,No
92,11/20/2017 11:45 AM,Name checked; released; no further action,Female,Citizen request for UCPD Response,1318 E 63rd,African American,Suspiciousp erson,No
93,11/20/2017 1:10 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5206 S Harper,African American,Domestic disturbance,No
94,11/20/2017 1:10 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5206 S Harper,African American,Domestic disturbance,No
95,There were no field interviews to report on 11-21-,,,,,,,
96,11/29/2017 12:48 PM,Name checked; released; no further action,Male,UCPD,5500 S Ellis,African American,Suspicious person,No
97,11/29/2017 5:46 PM,Name checked; released; no further action,Male,UCPD,1226 E 53rd,African American,Suspicious person,Yes
98,12/1/2017 1:21 AM,Name checked; released; no further action,Male,UCPD,5700 S Dorchester,African American,Suspicious person,No
99,12/1/2017 9:20 AM,Name checked; released; no further action,Male,UCPD,5900 S Harper,African American,Minor observed walking in the area during school hours,No
100,12/1/2017 9:20 AM,Name checked; released; no further action,Male,UCPD,5900 S Harper,African American,Minor observed walking in the area during school hours,No
101,12/1/2017 9:20 AM,Name checked; released; no further action,Male,UCPD,5900 S Harper,African American,Minor observed walking in the area during school hours,No
102,12/1/2017 9:20 AM,Name checked; released; no further action,Male,UCPD,5900 S Harper,African American,Minor observed walking in the area during school hours,No
103,12/1/2017 3:47 PM,Name checked; released; no further action,Male,Citizen request for UCPD Response,1456 E 55th,African American,Suspicious person,No
104,12/1/2017 5:42 PM,Name checked; released; no further action,Male,UCPD,6400 S Kimbark,African American,Suspicious person,No
105,12/2/2017 12:33 PM,Name checked; referred to CPD; released by CPD,Male,UCPD,5000 S Ellis,African American,Suspicious person,Yes
106,12/2/2017 12:49 PM,Name checked; referred to CPD; four citations issu,Male,UCPD,1121 E 50th,African American,Suspicious person,Yes
107,12/2/2017 6:33 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,6044 S Champlain,African American,Suspicious person,No
108,12/7/2017 3:01 PM,Name checked; released; no further action,Male,UCPD,5736 S Kimbark,African American,Suspicious person,No
109,12/13/2017 10:16PM,Name checked; released to parent; no further actio,Male,UCPD,5200 S Blackstone,African American,Suspicious Subject,no
110,12/14/2017 9:10 PM,Name checked; released; no further action,Male,UCPD,5530 S Ellis,African American,Suspicious person,No
111,12/18/2017 9:55 PM,Name checked; released; no further action,Male,UCPD,4900 East End,African American,Suspicious vehicle,No
112,12/20/2017 2:56 PM,Name checked; released; no further action,Female,UCPD,1355 E 50th Street,African American,Subject fit description of a theft offender/in proximity,Yes
113,12/20/2017 2:56 PM,Name checked; released; no further action,Male,UCPD,1355 E 50th Street,African American,Subject fit description of a theft offender/in proximity,Yes
114,There are no field interviews to report for 12-21-,,,,,,,
115,12/28/2017 9:37 PM,Medical transport,Male,UCPD,1118 E. 58th Street,Caucasian,Subject appeared confused and disorientated inside of a empty lecture hall.,No
116,12/31/2017 11:03 AM,Name checked; released; no further action,Male,Citizen request for UCPD Response,5300 S Drexel,African American,Suspicious person,Yes
