,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
41,N/A,1/14/2019 9:40 PM,Verbal Warning,Female,Traffic Sign/Signal,4900 Greenwood,Caucasian,Failed to stop at sign,No
42,N/A,1/15/2019 10:08 AM,Verbal Warning,Female,Lane Violation,5500 S. Lake Park,African American,Improper turn,No
43,One Citation Issued,1/15/2019 3:02 PM,Citation  Issued,Female,Traffic Sign/Signal,5700 S. Kimbark,African  American,Failure to yield to pedestrian,No
44,N/A,1/15/2019 8:02 PM,Verbal Warning,Male,Lane Violation,5300 Dorchester,Caucasian,Wrong way on one way,No
45,N/A,1/15/2019 9:10 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 Woodlawn,Asian,Failed to stop at sign,No
46,N/A,1/15/2019 9:45 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 Drexel,African American,No Right turn on red,No
47,N/A,1/16/2019 2:03 AM,Verbal Warning,Female,Traffic Sign/Signal,5700 Cottage,African American,Failed to stop at sign,No
48,N/A,1/16/2019 5:23 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Stony,Asian,Disobeyed stop sign,No
49,Three citations issued,1/16/2019 10:09 PM,Citation Issued,Male,Lane Violation,5300 S Blackstone,African American,Improper turn,No
50,N/A,1/17/2019 10:26 AM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Lake Park,African American,Disobeying Traffic Control Device,No
51,N/A,1/17/2019 11:50 AM,Verbal Warning,Male,Traffic Sign/Signal,5480 S Cornell,African American,Disobeyed stop sign,No
52,N/A,1/18/2019 10:38 AM,Verbal Warning,Male,Traffic Sign/Signal,1605 E 53rd,Caucasian,Disobeyed traffic control device,No
53,Two Citations issued,1/18/2019 10:55 PM,Citation Issued,Male,Traffic Sign/Signal,4800 Ellis,Caucasian,Failed to stop at sign,No
54,N/A,1/19/2019 10:53 AM,Verbal Warning,Male,Traffic sign/signal,5500 Blackstone,Caucasian,Disobeyed traffic control device,No
55,N/A,1/19/2019 12:13 PM,Verbal Warning,Male,Lane Violation,5900 S Ellis,Caucasian,Driving one way,No
56,N/A,1/19/2019 8:45 PM,Verbal Warning,Male,Traffic sign/signal,5900 Ellis,African American,Failed to stop at light,No
57,N/A,1/20/2019 9:27 AM,Verbal Warning,Female,Speed,1212 E Midway Plaisance,African American,speeding (lidar),No
58,Two Citations issued,1/20/2019 9:47 AM,Citation Issued,Male,Speed,1200 E Midway Plaisance,African American,speeding (lidar),No
59,N/A,1/20/2019 12:06 PM,Verbal Warning,Male,Lane Violation,1000 E Midway Plaisance,African American,Driving one way,No
60,N/A,1/20/2019 11:37 PM,Verbal Warning,Female,Traffic sign/signal,4700 Woodlawn,African American,Failed to stop at sign,No
61,N/A,1/21/2019 1:59 PM,Verbal Warning,Female,Traffic sign/signal,1015 E 51st,African American,"Drove thru stop sign w/o stopping, peds in crosswalk",No
62,N/A,1/21/2019 6:48 PM,Verbal Warning,Male,Traffic sign/signal,55th Lake Park,African American,Red Light Violation,No
63,N/A,1/22/2019 9:29 AM,Verbal Warning,Male,Traffic sign/signal,1059 E 51st Street,African American,Disobeyed stop sign,No
64,N/A,1/22/2019 12:12 PM,Verbal Warning,Female,Traffic sign/signal,5800 S Dorchester,African American,Disobeyed stop sign,No
65,N/A,1/22/2019 9:43 PM,Verbal Warning,Male,Lane Violation,5300 S Lake Park,African American,Improper turn,No
66,N/A,1/23/2019 9:00 AM,Verbal Warning,Female,Moving Violation � Other,5600 S Kimbark,African American,Failure to yield,No
