,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
15,N/A,1/4/2018 1:04 PM,Verbal Warning,Male,Lane Violation,1000 E Midway Plaisance,African American,Improper lane usage,No
16,N/A,1/4/2018 4:32 PM,Verbal Warning,Male,Lane Violation,1100 E 57th,African American,Improper lane usage,No
17,N/A,1/4/2018 4:48 PM,Verbal Warning,Male,Traffic Sign/Signal,5800 S Woodlawn,African American,Disobeyed traffic control device,No
18,One citation issued,1/4/2018 7:59 PM,Citation issued,Male,Traffic Sign/Signal,5300 S Kimbark,African American,Ran red light,No
19,N/A,1/4/2018 8:50 PM,Verbal Warning,Male,Moving Violation - Other,1335 E 55th,African American,Failure to yield to right of way,No
20,N/A,1/4/2018 9:07 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Greenwood,African American,Ran red light,No
21,N/A,1/4/2018 10:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Ellis,African American,Disobeyed traffic control device,No
22,N/A,1/5/2015 2:37 PM,Verbal Warning,Male,Lane Violation,5600 Lake Park,Caucasian,Improper lane change,No
23,Three citations issued,1/5/2018 3:28 PM,Citation issued,Male,Traffic Sign/Signal,1300 Hyde Park,Hispanic,Ran stop sign,No
24,N/A,1/5/2018 10:53 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,Asian,Ran red light,No
25,N/A,1/6/2018 9:50 AM,Verbal Warning,Male,Traffic Sign/Signal,5824 Blackstone,African American,Ran stop sign,No
26,N/A,1/6/2018 12:44 PM,Verbal Warning,Male,Traffic Sign/Signal,6100 Dorchester,Caucasian,Ran stop sign,No
27,N/A,1/6/2018 6:10 PM,Verbal Warning,Male,Equipment,Midway Plaisance at Ellis,African American,Operating vehicle in hazardous conditions without headlights when required,No
28,N/A,1/7/2018 3:42 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Woodlawn,African American,Ran stop sign,No
29,N/A,1/7/2018 4:07 PM,Verbal Warning,Male,Lane Violation,5801 S Woodlawn,African American,Wrong way on a one way street,No
30,N/A,1/8/2018 9:12 AM,Verbal Warning,Female,Traffic Sign/Signal,5630 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
31,N/A,1/8/2018 9:39 AM,Verbal Warning,Female,Traffic Sign/Signal,6300 S University,Asian,Disobeyed traffic control device,No
32,N/A,1/8/2018 9:42 AM,Verbal Warning,Male,Traffic sign/signal,5800 S Woodlawn,Caucasian,Disobeyed Stop Sign,No
33,N/A,1/8/2018 11:46 AM,Verbal Warning,Female,Moving Violation - Other,4700 S Cottage Grove,African American,Failure to yield to authorized emergency vehicle,No
34,N/A,1/8/2018 4:53 PM,Verbal Warning,Male,Traffic sign/signal,5600 S Dorchester,African American,Ran stop sign,No
35,Two citations issued,1/8/2018 9:38 PM,Citation issued,Male,Traffic sign/signal,5300 S Kenwood,African American,Ran stop sign,No
36,N/A,1/8/2018 10:59 PM,Verbal Warning,Male,Traffic sign/signal,1457 E 53rd,African American,Disobeyed traffic control device,No
37,Two citations issued,1/8/2018 11:14 PM,Citation Issued,Male,Traffic sign/signal,5400 S Woodlawn,African American,Ran red light,No
38,N/A,1/9/2018 7:27 AM,Verbal Warning,Female,Lane Violation,5700 S Ellis,African American,Improper overtaking,No
39,N/A,1/9/2018 9:23 AM,Verbal Warning,Male,Traffic Sign/Signal,6000 S Cottage Grove,African American,Disobeyed traffic control device,No
40,N/A,1/9/2018 11:53 AM,Verbal Warning,Male,Traffic sign/signal,1000 E Midway Plaisance,African American,Ran stop sign,No
41,N/A,1/9/2018 12:11 PM,Verbal Warning,Male,Lane Violation,5500 S Lake Park,Caucasian,Wrong way on a one way street,No
42,N/A,1/9/2018 1:01 PM,Verbal Warning,Male,Lane Violation,5700 S Stony Island,African American,Improper passing,No
43,N/A,1/9/2018 2:43 PM,Verbal Warning,Female,Traffic sign/signal,800 E Midway Plaisance,African American,Disobeyed traffic control device,No
44,N/A,1/9/2018 8:50 PM,Verbal Warning,Male,Lane Violation,5300 S Harper,African American,Illegal U-Turn,No
45,N/A,1/9/2018 10:46 PM,Verbal Warning,Male,Lane Violation,5400 S Lake Park,Asian,Wrong way on one way road,No
46,N/A,1/9/2018 11:32 PM,Verbal Warning,Female,Traffic sign/signal,5500 S Greenwood,Caucasian,Ran stop sign,No
47,N/A,1/10/2018 9:12 PM,Verbal Warning,Male,Traffic sign/signal,5400 Greenwood,African American,Ran stop sign,No
48,N/A,1/10/2018 10:15 PM,Verbal Warning,Male,Traffic sign/signal,5501 S Cottage Grove,African American,Ran stop sign,No
49,Two citations issued,1/11/2018 3:10 PM,Citation issued,Female,Lane Violation,1460 E. 55th Street,African American,Improper lane usage,No
50,N/A,1/11/2018 5:27 PM,Verbal Warning,Female,Traffic sign/signal,6000 S. Dorchester,African American,Disobeyed Stop Sign,No
51,N/A,1/11/2018 8:49 PM,Verbal Warning,Female,Moving Violation - Other,5100 S. Woodlawn,African American,Wrong way on one way street,No
52,N/A,1/11/2018 8:59 PM,Verbal Warning,Female,Traffic sign/signal,5700 S. Stony Island,Caucasian,Disobeyed Stop Sign,No
53,N/A,1/11/2018 10:51 PM,Verbal Warning,Female,Traffic sign/signal,5900 S. Ellis,Caucasian,Disobeyed traffic control device,No
54,N/A,1/12/2018 12:31 AM,Verbal Warning,Female,Moving Violation - Other,5100 S. Cottage Grove,African American,Driving without headlights,No
55,N/A,1/12/2018 3:09 AM,Verbal Warning,Female,Moving Violation - Other,5500 S. Greenwood,African American,Driving without headlights,No
56,N/A,1/12/2018 12:22 PM,Verbal Warning,Male,Traffic Sign/Signal,4700 S Cornell,Asian,Ran stop sign,No
57,N/A,1/12/2018 12:42 PM,Verbal Warning,Male,Speed,5900 S Woodlawn,African American,Speeding,No
58,N/A,1/12/2018 2:43 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Lake Park,African American,Ran stop sign,No
59,N/A,1/12/2018 3:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Midway Plaisance,African American,Failure to yield to pedestrian in crosswalk,No
60,N/A,1/12/2018 3:49 PM,Verbal Warning,Female,Lane Violation,5900 S Midway Plaisance,African American,Improper lane usage,No
61,N/A,1/12/2018 3:55 PM,Verbal Warning,Male,Traffic Sign/Signal,4900 S Greenwood,African American,Ran stop sign,No
62,Two citations issued,1/12/2018 4:49 PM,Citation issued,Male,Lane Violation,6400 S Cottage Grove,African American,Improper lane usage,No
63,N/A,1/12/2018 4:50 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Blackstone,Caucasian,Failure to yield to pedestrian in crosswalk,No
64,N/A,1/12/2018 5:42 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Ellis,African American,Ran red light,No
65,N/A,1/12/2018 5:44 PM,Verbal Warning,Male,Lane Violation,5800 S University,Caucasian,Improper lane usage,No
66,One citation issued,1/12/2018 7:34 PM,Citation issued,Male,Traffic Sign/Signal,5500 S Dorchester,African American,Ran stop sign,No
67,N/A,1/12/2018 8:25 PM,Verbal Warning,Female,Lane Violation,5300 S Kimbark,African American,Improper U-Turn,No
68,N/A,1/13/2018 8:18 AM,Verbal Warning,Male,Traffic Sign/Signal,5800 S Cottage Grove,African American,Ran red light,No
69,N/A,1/13/2018 9:57 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Blackstone,African American,Ran stop sign,No
70,One citation issued,1/13/2018 10:19 AM,Citation issued,Female,Speed,1400 E Midway Plaisance,African American,Speeding,No
71,N/A,1/13/2018 11:24 AM,Verbal Warning,Female,Speed,1332 E Midway Plaisance,African American,Speeding,No
72,N/A,1/13/2018 11:43 AM,Verbal Warning,Female,Speed,1600 E Midway Plaisance,African American,Speeding,No
73,One citation issued,1/13/2018 12:19 PM,Citation issued,Male,Speed,6000 S Cornell,African American,Speeding,No
74,N/A,1/13/2018 1:13 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Cornell,African American,Ran stop sign,No
75,N/A,1/13/2018 1:45 PM,Verbal Warning,Male,Traffic Sign/Signal,4300 S Drexel,African American,Ran red light,No
76,One citation issued,1/13/2018 3:16 PM,Citation issued,Female,Speed,1400 E Midway Plaisance,African American,Speeding,No
77,Two citations issued,1/13/2018 3:19 PM,Citation issued,Female,Speed,1501 E Midway Plaisance,African American,Speeding,No
78,N/A,1/13/2018 3:59 PM,Verbal Warning,Female,Lane Violation,5800 S Stony Island,African American,Improper lane usage,No
79,N/A,1/13/2018 4:14 PM,Verbal Warning,Female,License plate/registration,6000 S Stony Island,African American,No valid registration,No
80,N/A,1/13/2018 4:52 PM,Verbal Warning,Male,Lane Violation,5500 S Lake Park,African American,Improper lane usage,No
81,N/A,1/13/2018 5:04 PM,Verbal Warning,Male,Equipment,5500 S Woodlawn,Hispanic,Driving without headlights,No
82,Two citations issued,1/13/2018 8:41 PM,Citation issued,Male,License plate/registration,1226 E 53rd,African American,Expired registration,No
83,N/A,1/13/2018 10:22 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S University,Hispanic,Disobeyed traffic control device,No
84,N/A,1/13/2018 10:47 PM,Verbal Warning,Male,Traffic Sign/Signal,1324 S University,Hispanic,Ran stop sign,No
85,N/A,1/14/2018 1:21 AM,Verbal Warning,Female,Lane Violation,5425 S Lake Park,African American,Improper U-turn,No
86,N/A,1/14/2018 1:55 AM,Verbal Warning,Male,Speed,5600 S Stony Island,African American,Speeding,No
87,N/A,1/14/2018 2:19 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Blackstone,African American,Ran stop sign,No
88,N/A,1/14/2018 12:33 PM,Verbal Warning,Male,Lane Violation,5118 S Blackstone,African American,Wrong way on one way road,No
89,N/A,1/14/2018 1:54 PM,Verbal Warning,Male,Lane Violation,5900 S Ellis,Asian,Wrong way on one way road,No
90,N/A,1/14/2018 4:33 PM,Verbal Warning,Female,Speed,1400 E Midway Plaisance,African American,Driving too fast for conditions,No
91,N/A,1/14/2018 5:50 PM,Verbal Warning,Male,Lane Violation,1362 E 59th,Caucasian,Wrong way on one way road,No
92,N/A,1/14/2018 10:28 PM,Verbal Warning,Male,Traffic sign/signal,5700 S University,African American,Disobeyed traffic control device,No
93,N/A,1/15/2018 1:13 AM,Verbal Warning,Male,Equipment,5500 S Drexel,Caucasian,Driving without headlights,No
94,One citation issued,1/15/2018 1:15 AM,Citation issued,Female,Traffic Sign/Signal,5400 S Drexel,African American,Ran stop sign,No
95,N/A,1/15/2018 2:19 AM,Verbal Warning,Male,Lane Violation,4818 S Cornell,African American,Improper lane change,No
96,N/A,1/15/2018 11:07 AM,Verbal Warning,Male,Moving Violation - Other,1506 E 53rd,African American,Using cell phone while driving,No
97,N/A,1/15/2018 3:52 PM,Verbal Warning,Male,Lane Violation,5100 S Kenwood,African American,Improper U-Turn,No
98,N/A,1/15/2018 6:03 PM,Verbal Warning,Male,Traffic Sign/Signal,Dorchester and Midway Plaisance,African American,Ran red light,No
99,N/A,1/15/2018 10:01 PM,Verbal Warning,Male,Traffic sign/signal,Cottage Grove and Midway Plaisance,African American,Ran red light,No
100,N/A,1/16/2018 12:14 AM,Verbal Warning,Male,Equipment,5701 Cottage Grove,Hispanic,No rear registration plate light,No
101,N/A,1/16/2018 1:06 PM,Verbal Warning,Female,Lane Violation,5737 S University,African American,Wrong way on one way street,No
102,N/A,1/16/2018 8:01 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 Dorchester,African American,Ran stop sign,No
103,N/A,1/17/2018 11:49 AM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Drexel,African American,Disobeying traffic control device,No
104,N/A,1/17/2018 12:34 PM,Verbal Warning,Male,Traffic Sign/Signal,1362  Hyde Park Blvd,African American,Ran stop sign,No
105,One citation issued,1/17/2018 10:05 PM,Citation issued,Female,Traffic Sign/Signal,5400 S Woodlawn,African American,Ran stop sign,No
106,N/A,1/18/2018 11:49 AM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Dorchester,African American,Ran stop sign,No
107,N/A,1/18/2018 11:53 AM,Verbal Warning,Male,Traffic Sign/Signal,900 E Midway Plaisance,African American,Ran stop sign,No
108,N/A,1/18/2018 1:56 PM,Verbal Warning,Female,Lane Violation,5900 S Dorchester,African American,Wrong way on one way road,No
109,N/A,1/18/2018 3:36 PM,Verbal Warning,Male,Traffic Sign/Signal,1332 E Midway Plaisance,Caucasian,Failure to yield to pedestrian in crosswalk,No
110,"Arrested on warrant, one citation issued",1/18/2018 11:14 PM,Citation issued,Male,Lane Violation,5317 S Maryland,Caucasian,Wrong way on one way road,Yes
111,,There were no traffic stops to report for 1-19-201,,,,,,,
112,Two citations issued,1/20/2018 12:22 AM,Citation issued,Male,Traffic sign/signal,5500 S. Cottage Grove,African American,Disobeyed Stop Sign,No
113,N/A,1/20/2018 9:44 AM,Verbal Warning,Male,Traffic sign/signal,6300 S. Woodlawn,African American,Ran red light,No
114,N/A,1/20/2018 10:55 AM,Verbal Warning,Male,Traffic sign/signal,5800 S. University,African American,Disobeyed Stop Sign,No
115,N/A,1/20/2018 2:03 PM,Verbal Warning,Male,Traffic sign/signal,1120 E. 53rd Street,African American,Ran red light,No
116,N/A,1/20/2018 5:08 PM,Verbal Warning,Female,Traffic sign/signal,"6100 S, Woodlawn",Asian,Ran red light,No
117,N/A,1/20/2018 7:52 PM,Verbal Warning,Male,Traffic sign/signal,4800 S. Kenwood,African American,Disobeyed traffic control device,No
118,N/A,1/20/2018 8:07 PM,Verbal Warning,Male,Traffic sign/signal,5700 S. University,African American,Disobeyed traffic control device,No
119,N/A,1/20/2018 8:28 PM,Verbal Warning,Female,Traffic sign/signal,4700 S. Drexel,African American,Disobeyed traffic control device,No
120,N/A,1/20/2018 9:17 PM,Verbal Warning,Female,Lane Violation,5500 S. Kimbark,African American,Failure to signal,No
121,N/A,1/20/2018 11:01 PM,Verbal Warning,Female,Traffic sign/signal,4900 S. Kimbark,African American,Disobeyed traffic control device,No
122,Two citations issued,1/21/2018 11:45 PM,Citation issued,Male,Traffic sign/signal,1000 E. Midway Plaisance,African American,Disobeyed Stop Sign,No
123,N/A,1/22/2018 9:02 AM,Verbal Warning,Male,Traffic Sign/Signal,1400 E Midway Plaisance,Asian,Disobeyed traffic control device,No
124,N/A,1/22/2018 10:05 AM,Verbal Warning,Female,Lane Violation,5200 S Lake Park,Caucasian,Improper U-Turn,No
125,Two citations issued,1/22/2018 8:45 PM,Citation issued,Male,Traffic Sign/Signal,5300 S Dorchester,African American,Disobeyed traffic control device,No
126,N/A,1/23/2018 8:40 AM,Verbal Warning,Male,Lane Violation,5900 S Ellis,Caucasian,Wrong way on one way road,No
127,N/A,1/23/2018 1:23 PM,Verbal Warning,Male,Lane Violation,1006 E 54th,African American,Wrong way on one way road,No
128,N/A,1/23/2018 4:25 PM,Verbal Warning,Female,Lane Violation,4100 S Ellis,African American,Wrong way on one way road,No
129,N/A,1/23/2018 5:27 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S University,Hispanic,Failure to yield to pedestrian in crosswalk,No
130,N/A,1/23/2018 9:28 PM,Verbal Warning,Male,Equipment,1056 E 55th,African American,No headlights when required,No
131,N/A,1/23/2018 10:21 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Dorchester,African American,Ran red light,No
132,N/A,1/23/2018 10:39 PM,Verbal Warning,Male,License plate/registration,5500 S Dorchester,African American,Expired registration,No
133,N/A,1/24/2018 2:22 PM,Verbal Warning,Male,Traffic sign/signal,5500 S Cottage Grove,Hispanic,Disobeyed traffic control device,No
134,N/A,1/24/2018 8:24 PM,Verbal Warning,Male,Equipment,5300 Ingleside,African American,Driving without headlights,No
135,N/A,1/25/2018 12:53 AM,Verbal Warning,Female,Traffic sign/signal,4700 Greenwood,African American,Disobeyed traffic control device,No
136,N/A,1/25/2018 1:20 AM,Verbal Warning,Female,Equipment,5400 Woodlawn,African American,Driving without headlights,No
137,N/A,1/25/2018 8:19 PM,Verbal Warning,Female,Traffic sign/signal,Midway Plaisance at Dorchester,African American,Ran red light,No
138,N/A,1/25/2018 9:23 PM,Verbal Warning,Male,Lane Violation,5700 Maryland,Native Hawaiian/Other Pacific Islander,Improper turn,No
139,One citation issued,1/26/2018 1:35 AM,Citation issued,Male,Equipment,5500 Cottage Grove,African American,No headlights when required,No
140,N/A,1/26/2018 3:17 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Drexel,African American,Ran stop sign,No
141,N/A,1/26/2018 4:57 PM,Verbal Warning,Male,Traffic sign/signal,6100 S Kimbark,Caucasian,Disobeyed traffic control device,No
142,Two citations issued,1/26/2018 7:50 PM,Citation issued,Female,Traffic sign/signal,5100 S Cornell,African American,Ran red light,No
143,Two citations issued,1/26/2018 11:08 PM,Citation issued,Male,Equipment,5300 S Ingleside,African American,Missing tail light,No
144,N/A,1/28/2018 9:58 AM,Verbal Warning,Female,Traffic sign/signal,5700 S Payne,Hispanic,Disobeyed traffic control device,No
145,N/A,1/28/2018 2:25 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Improper lane usage,No
146,N/A,1/28/2018 4:24 PM,Verbal Warning,Female,Lane Violation,5700 S Cottage Grove,Caucasian,Improper lane usage,No
147,N/A,1/28/2018 8:00 PM,Verbal Warning,Male,Lane Violation,5300 S Harper,African American,Illegal U-Turn,No
148,N/A,1/29/2018 8:16 AM,Verbal Warning,Male,Traffic sign/signal,5213 S Woodlawn,African American,Ran red light,No
149,N/A,1/29/2018 9:24 AM,Verbal Warning,Female,Lane Violation,1442 E 56th,African American,Wrong way on one way road,No
150,N/A,1/29/2018 10:39 AM,Verbal Warning,Male,Traffic sign/signal,5300 S Greenwood,African American,Ran stop sign,No
151,N/A,1/29/2018 6:33 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Greenwood,Caucasian,Ran stop sign,No
152,One citation issued,1/29/2018 8:44 PM,Citation issued,Male,Traffic Sign/Signal,5900 Woodlawn,African American,Ran stop sign,No
153,N/A,1/29/2018 9:24 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 Woodlawn,African American,Disobeyed traffic control device,No
154,N/A,1/29/2018 10:37 PM,Verbal Warning,Male,Equipment,5500 University,African American,Driving without headlights when required,No
155,N/A,1/29/2018 11:03 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Woodlawn,African American,Ran red light,No
156,N/A,1/30/2018 9:06 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 Drexel,Caucasian,Disobeyed traffic control device,No
157,N/A,1/30/2018 10:24 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 Kenwood,Hispanic,Disobeyed traffic control device,No
158,N/A,1/31/2018 4:23 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 S Lake Park,African American,Ran stop sign,No
159,N/A,1/31/2018 9:35 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Ingleside,Caucasian,Disobeyed traffic control device,No
160,One citation issued,2/18/2018 5:13 AM,Citation issued,Male,Traffic Sign/Signal,5300 S Dorchester,African American,Ran stop sign,No
161,N/A,2/1/2018 9:54 AM,Verbal Warning,Female,Lane Violation,5500 S University,African American,Improper passing,No
162,N/A,2/1/2018 10:29 AM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Cottage Grove,African American,Disobeyed traffic control device,No
163,N/A,2/1/2018 4:12 PM,Verbal Warning,Female,Traffic Sign/Signal,5600 S Dorchester,African American,Ran stop sign,No
164,N/A,2/1/2018 5:08 PM,Verbal Warning,Male,Lane Violation,5000 S Lake Park,Caucasian,Improper lane usage,No
165,N/A,2/1/2018 10:09 PM,Verbal Warning,Female,Lane Violation,5600 S University,Caucasian,Wrong way on one way road,No
166,N/A,2/2/2018 10:32 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Woodlawn,African American,Ran stop sign,No
167,N/A,2/2/2018 1:57 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Ellis,African American,Ran red light,No
168,N/A,2/2/2018 8:18 PM,Verbal Warning,Male,Equipment,5700 S Kenwood,African American,Driving without headlights,No
169,N/A,2/3/2018 8:54 AM,Verbal Warning,Female,Traffic Sign/Signal,1017 E 51st,African American,Ran red light,No
170,N/A,2/3/2018 9:27 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Lake Park,African American,Disobeyed traffic control device,No
171,Two citations issued,2/3/2018 10:38 AM,Citation issued,Male,Traffic Sign/Signal,5326 S Woodlawn,African American,Ran stop sign,Yes
172,N/A,2/3/2018 11:45 AM,Verbal Warning,Female,Traffic Sign/Signal,1326 E 63rd,African American,Ran red light,No
173,N/A,2/3/2018 1:54 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S University,Hispanic,Ran red light,No
174,N/A,2/3/2018 5:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 Hyde Park Blvd,African American,Ran red light,No
175,N/A,2/4/2018 11:36 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Ellis,African American,Ran stop sign,No
176,N/A,2/4/2018 5:00 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Harper,Asian,Ran stop sign,No
177,N/A,2/5/2018 11:12 AM,Verbal Warning,Female,Lane Violation,5300 S University,Caucasian,Improper lane usage,No
178,N/A,2/5/2018 2:30 PM,Verbal Warning,Male,Lane Violation,5500 S Ingleside,Caucasian,Improper lane usage,No
179,Two citations issued,2/6/2018 6:15 AM,Citation issued,Male,Traffic Sign/Signal,1219 E 53rd,African American,Disobeying traffic control device,No
180,One citation issued,2/6/2018 9:07 AM,Citation issued,Female,Lane Violation,6300 S Cottage Grove,African American,Improper passing,No
181,N/A,2/6/2018 10:31 AM,Verbal Warning,Female,Traffic Sign/Signal,5900 S Ellis,Asian,Ran stop sign,No
182,N/A,2/6/2018 10:59 AM,Verbal Warning,Male,Traffic Sign/Signal,5200 Payne Drive,Hispanic,Ran stop sign,No
183,N/A,2/6/2018 6:50 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Woodlawn,Caucasian,Disobeyed traffic control device,No
184,One citation issued,2/6/2018 11:54 PM,Citation issued,Female,Traffic Sign/Signal,5300 S Greenwood,Caucasian,Ran stop sign,No
185,N/A,2/7/2018 8:18 PM,Verbal Warning,Female,Traffic Sign/Signal,1010 E 63rd,African American,Disobeyed traffic control device,No
186,N/A,2/8/2018 2:01 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 Cornell,African American,Ran stop sign,No
187,N/A,2/8/2018 11:36 AM,Verbal Warning,Male,Moving Violation - Other,5035 S Lake Shore Dr.,Caucasian,Using cell phone while driving,No
188,N/A,2/8/2018 1:59 PM,Verbal Warning,Male,Lane Violation,Midway Plaisance and Cornell,Native Hawaiian/Other Pacific Islander,Wrong way on one way road,No
189,N/A,2/8/2018 11:56 PM,Verbal Warning,Female,Traffic sign/signal,5500 S Dorchester,Asian,Disobeyed no turn on red sign,No
190,N/A,2/9/2018 6:04 PM,Verbal Warning,Male,Traffic sign/signal,5100 S Kenwood,Caucasian,Ran red light,No
191,N/A,2/10/2018 10:34 AM,Verbal Warning,Female,Traffic sign/signal,5500 S Cottage Grove,African American,Disobeyed traffic control device,No
192,N/A,2/11/2018 10:58 AM,Verbal Warning,Male,Traffic sign/signal,5500 S Woodlawn,Caucasian,Failure to yield to pedestrian in crosswalk,No
193,One citation issued,2/12/2018 11:52 AM,Citation issued,Male,Lane Violation,5737 S University,Caucasian,Wrong way on one way road,No
194,N/A,2/12/2018 11:56 AM,Verbal Warning,Male,Traffic Sign/Signal,5000 S Cornell,African American,Ran stop sign,No
195,N/A,2/12/2018 12:40 PM,Verbal Warning,Male,Traffic Sign/Signal,1116 E 59th,African American,Ran stop sign,No
196,N/A,2/12/2018 1:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Berkeley,African American,Ran stop sign,No
197,N/A,2/12/2018 2:56 PM,Verbal Warning,Female,Moving Violation - Other,1709 E 53rd,Caucasian,Using cell phone while driving,No
198,N/A,2/12/2018 3:11 PM,Verbal Warning,Female,Traffic Sign/Signal,5000 S Lake Park,Hispanic,Disobeyed traffic control device,No
199,N/A,2/13/2018 7:37 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Drexel,African American,Ran red light,No
200,N/A,2/13/2018 2:08 PM,Verbal Warning,Female,Traffic sign/signal,4045 S Lake Park,African American,Ran stop sign,No
201,N/A,2/13/2018 2:45 PM,Verbal Warning,Female,Traffic Sign/Signal,4001 S Lake Park,African American,Ran stop sign,No
202,N/A,2/13/2018 3:05 PM,Verbal Warning,Female,Traffic Sign/Signal,4071 S Lake Park,African American,Ran stop sign,No
203,N/A,2/13/2018 4:11 PM,Verbal Warning,Male,License plate/registration,5500 S Hyde Park,African American,Expired registration,No
204,N/A,2/13/2018 10:19 PM,Verbal Warning,Male,Lane Violation,5400 S Ingleside,African American,Improper lane usage,No
205,N/A,2/14/2018 1:28 PM,Verbal Warning,Male,Lane Violation,5730 S Stony Island,African American,Improper passing,No
206,N/A,2/14/2018 2:25 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
207,N/A,2/14/2018 3:55 PM,Verbal Warning,Male,Lane Violation,6300 S Cottage Grove,African American,Improper left turn,No
208,N/A,2/14/2018 4:45 PM,Verbal Warning,Male,Equipment,5100 S Shore Dr,African American,Excessive muffler noise,No
209,N/A,2/14/2018 7:44 PM,Verbal Warning,Male,Lane Violation,4800 S Drexel,African American,Right turn in front of CTA bus,No
210,N/A,2/15/2018 6:33 AM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Maryland,Caucasian,Ran stop sign,No
