,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
0,One citation issued,1/1/2018 12:11 AM,Citation issued,Male,Lane Violation,5600 S Kimbark,Caucasian,Wrong way on one way road,No
1,One citation issued,1/1/2018 1:37 AM,Citation issued,Male,Traffic Sign/Signal,5900 S Woodlawn,African American,Ran stop sign,No
2,One citation issued,1/1/2018 11:53 AM,Citation issued,Male,Traffic Sign/Signal,4700 S Drexel,African American,Ran stop sign,No
3,N/A,1/1/2018 8:16 PM,Verbal Warning,Male,Traffic Sign/Signal,5200 S Lake Park,Asian,Disobeyed traffic control device,No
4,N/A,1/1/2018 9:01 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Ingleside,African American,Disobeyed traffic control device,No
5,N/A,1/1/2018 9:17 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Cottage Grove,African American,Disobeyed traffic control device,No
6,Two citations issued,1/2/2018 1:10 AM,Citation issued,Female,License plate/registration,5500 S Payne Dr.,African American,Improper display of license plate,No
7,N/A,1/2/2018 2:33 PM,Verbal Warning,Male,Moving Violation - Other,1613 E 53rd,African American,Using cell phone while driving,No
8,N/A,1/3/2018 2:22 AM,Verbal Warning,Male,Traffic Sign/Signal,5500  S Kenwood,Asian,Disobeyed traffic control device,No
9,N/A,1/3/2018 9:22 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Payne,African American,Ran stop sign,No
10,N/A,1/3/2018 11:21 AM,Verbal Warning,Female,Traffic Sign/Signal,Midway Plaisance and Payne Drive,African American,Improper turn,No
11,N/A,1/3/2018 6:16 PM,Verbal Warning,Male,Lane Violation,6300 S Ingleside,African American,Wrong way on one way road,No
12,N/A,1/4/2018 8:53 AM,Verbal Warning,Female,Lane Violation,5235 S Blackstone,African American,Improper lane usage,No
13,N/A,1/4/2018 11:54 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
14,N/A,1/4/2018 12:28 PM,Verbal Warning,Male,License plate/registration,5316 S Harper,Asian,Vehicle missing license plates,No
