,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
21,N/A,2/3/2017 8:46 AM,Verbal Warning,Male,Lane Violation,5100 S Hyde Park,Caucasian,Improper right turn,No
22,One citation issued for failure to yield to pedestrian in crosswalk,2/3/2017 4:32 PM,Citation Issued,Female,Traffic Sign/Signal,6100 S Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
23,N/A,2/5/2017 4:04 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Lake Park,African American,Ran stop sign,No
24,N/A,2/7/2017 3:44 PM,Verbal Warning,Male,Lane Violation,5700 S UNIVERSITY,Hispanic,Improper U-Turn,No
25,N/A,2/8/2017 11:21 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
26,N/A,2/9/2017 5:16 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S University,Caucasian,Disobeyed traffic control device,No
27,N/A,2/10/2017 12:27 AM,Verbal Warning,Male,Traffic Sign/Signal,6300 S University,African American,Ran red light,No
28,N/A,2/10/2017 9:07 AM,Verbal Warning,Female,Traffic Sign/Signal,5000 S Woodlawn,Caucasian,Ran stop sign,No
29,N/A,2/10/2017 3:22 PM,Verbal Warning,Male,Traffic Sign/Signal,6000 S Drexel,Caucasian,Ran stop sign,No
30,Two citations issued for no registration and no insurance,2/11/2017 11:28 PM,Citation Issued,Male,License Plate/Registration,6300 Kenwood,African American,Vehicle missing license plates,No
31,N/A,2/12/2017 9:09 PM,Verbal Warning,Male,Lane Violation,960 E 56th,Caucasian,Wrong way on one way road,No
32,Two citations issued for disobeying a police officer and driving with suspended license,2/14/2017 8:38 AM,Citation Issued,Female,Moving Violation - Other,5900 S Stony Island,African American,Disobeyed a police officer/crossing guard,No
33,N/A,2/16/2017 3:44 PM,Verbal Warning,Male,Speed,800 E Midway Plaisance,African American,Speeding,No
34,N/A,2/17/2017 8:19 AM,Verbal Warning,Male,Speed,Midway Plaisance and Ellis,Caucasian,Speeding,No
35,N/A,2/17/2017 3:30 PM,Verbal Warning,Female,Traffic Sign/Signal,5900 S Ellis,African American,Disobeyed traffic control device,No
36,N/A,2/18/2017 10:11 AM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Woodlawn,African American,Ran stop sign,No
37,N/A,2/18/2017 10:32 PM,Verbal Warning,Female,Traffic Sign/Signal,5600 S Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
38,N/A,2/21/2017 3:08 PM,Verbal Warning,Female,Lane Violation,5234 S Blackstone,Asian,Wrong way on one way street,No
39,N/A,2/23/2017 7:50 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,Caucasian,Ran stop sign,No
40,N/A,2/23/2017 8:41 AM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Kimbark,Asian,Ran stop sign,No
41,N/A,2/28/2017 8:07 AM,Verbal Warning,Female,Traffic Sign/Signal,6100 S Greenwood,African American,Ran stop sign,No
42,"Three citations issued for disobeying traffic control device, no insurance, and no valid DL",2/28/2017 11:28 PM,Citation issued,Male,Traffic Sign/Signal,5300 S Blackstone,Hispanic,Ran stop sign,No
43,N/A,2/28/2017 2:52 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Cottage Grove,Caucasian,Ran red light,No
44,N/A,2/28/2017 5:32 PM,Verbal Warning,Female,Lane Violation,1100 E 57th,Caucasian,Improper U-turn,No
45,N/A,3/2/2017 2:48 AM,Verbal Warning,Male,Traffic Sign/Signal,5200 Woodlawn,African American,Ran red light,No
46,N/A,3/3/2017 12:11 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 S Greenwood,African American,Ran stop sign,No
47,Two citations issued for failure to yield to pedestrian and suspended DL,3/6/2017 4:37 PM,Citation issued,Female,Traffic Sign/Signal,800 E Midway Plaisance,African American,Failure to yield to pedestrian in crosswalk,No
48,N/A,3/7/2017 11:35 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Woodlawn,Caucasian,Failure to yield to pedestrian in crosswalk,No
49,N/A,3/7/2017 1:51 PM,Verbal Warning,Male,Lane Violation,1461 E 52rd,African American,Wrong way on one way street,No
50,N/A,3/7/2017 8:47 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Ellis,Caucasian,Ran stop sign,No
51,Two citations issued for lane violation and no insurance,3/8/2017 11:26 AM,Citation issued,Female,Lane Violation,5800 S Kenwood,African American,Wrong way on one way street,No
52,N/A,3/9/2017 11:00 AM,Verbal Warning,Male,Lane Violation,1604 E 55th,African American,Improper U-Turn,No
53,N/A,3/9/2017 11:41 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Kimbark,African American,Disobeyed traffic control device,No
54,N/A,3/11/2017 11:46 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Kimbark,Asian,Ran red light,No
55,N/A,3/11/2017 7:26 PM,Verbal Warning,Female,Traffic Sign/Signal,4743 S Ingleside,African American,Ran stop sign,No
56,N/A,3/11/2017 8:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Ellis,Asian,Failure to yield right of way to pedestrian,No
57,Two citations issued for failure to yield and suspended license,3/11/2017 8:28 PM,Citation Issued,Female,Traffic Sign/Signal,5500 Kimbark,African American,Failure to yield right of way to pedestrian in crosswalk,No
58,N/A,3/11/2017 10:10 PM,Verbal Warning,Male,Lane Violation,5500 Cottage Grove,African American,Illegal lane change,No
59,N/A,3/12/2017 9:21 AM,Verbal Warning,Female,Traffic Sign/Signal,4700 S Drexel,African American,Ran stop sign,No
60,N/A,3/13/2017 4:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Harper,Caucasian,Disobeyed traffic control device,No
61,Two citations issued for disobeying traffic control device and no insurance,3/13/2017 5:22 PM,Citation Issued,Male,Traffic Sign/Signal,5800 S Cottage Grove,African American,Ran red light,No
62,N/A,3/15/2017 12:03 PM,Verbal Warning,Male,Traffic Sign/Signal,5739 S Blackstone,African American,Failure to yield to pedestrian in crosswalk,No
63,N/A,3/15/2017 12:42 PM,Verbal Warning,Male,Lane Violation,5426 S Kimbark,Caucasian,Wrong way on one way street,No
64,N/A,3/16/2017 11:35 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S INGLESIDE,Caucasian,Disobeyed Stop Sign,No
65,N/A,3/17/2017 5:10 PM,Verbal Warning,Female,Traffic Sign/Signal,6300 S Kenwood,African American,Ran red light,No
66,N/A,3/18/2017 8:19 AM,Verbal Warning,Female,Speed,1158 E 59th,Caucasian,Speeding,No
67,N/A,3/18/2017 8:36 AM,Verbal Warning,Male,Speed,1106 Midway Plaisance,African American,Speeding,No
68,N/A,3/20/2017 10:32 AM,Verbal Warning,Male,Lane Violation,5700 S Maryland,Asian,Improper passing,No
69,N/A,3/21/2017 9:57 AM,Verbal Warning,Female,Traffic Sign/Signal,5900 S Cottage Grove,African American,Failure to yield to pedestrian in crosswalk,No
70,N/A,3/21/2017 9:10 PM,Verbal Warning,Male,Lane Violation,5300 Harper,Caucasian,Wrong way on one way street,No
71,N/A,3/22/2017 5:33 PM,Verbal Warning,Male,Lane Violation,5500 S Greenwood,African American,Wrong way on one way street,No
72,N/A,3/23/2017 9:29 AM,Verbal Warning,Female,Traffic Sign/Signal,5100 S Cottage Grove,African American,Ran red light,No
73,N/A,3/23/2017 4:30 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Berkeley,African American,Ran stop sign,No
74,N/A,3/24/2017 10:51 PM,Verbal Warning,Male,Lane Violation,1150 E 59th,Asian,Wrong way on one way street,No
75,N/A,3/24/2017 11:32 PM,Verbal Warning,Male,Traffic Sign/Signal,5311 Lake Park,African American,Disobeyed traffic control device,No
76,N/A,3/24/2017 11:34 PM,Verbal Warning,Male,Lane Violation,5400 Ingleside,Caucasian,Wrong way on one way street,No
77,N/A,3/25/2017 2:28 PM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Ellis,Asian,Disobeyed traffic control device,No
78,N/A,3/25/2017 5:38 PM,Verbal Warning,Male,Traffic Sign/Signal,1326 E 53rd,Caucasian,Disobeyed traffic control device,No
79,N/A,3/25/2017 11:58 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 Kimbark,Hispanic,Ran stop sign,No
80,N/A,3/26/2017 2:09 PM,Verbal Warning,Female,Traffic Sign/Signal,6000 S Cottage Grove,African American,Ran red light,No
81,N/A,3/26/2017 4:49 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Blackstone,African American,Ran stop sign,No
82,N/A,3/26/2017 8:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Blackstone,African American,Disobeyed traffic control device,No
83,N/A,3/26/2017 10:04 PM,Verbal Warning,Male,Moving Violation - Other,5206 Harper,African American,Improper backing,No
84,Two citations issued for disobeying traffic control device and no insurance,3/27/2017 12:39 AM,Citation issued,Female,Traffic Sign/Signal,5300 Blackstone,Caucasian,Disobeyed traffic control device,No
85,One citation issued for disobeying traffic control device,3/27/2017 11:28 AM,Citation issued,Male,Traffic Sign/Signal,5300 S Drexel,Caucasian,Ran stop sign,No
86,N/A,3/28/2017 2:42 PM,Verbal Warning,Female,Moving Violation - Other,913 E 61st,African American,Driving on sidewalk,No
87,N/A,3/30/2017 10:32 AM,Verbal Warning,Male,Traffic Sign/Signal,1356 E 51st,Caucasian,Ran red light,No
88,Two citations issued for expired registration and suspended license,3/30/2017 4:15 PM,Citation issued,Male,License Plate/Registration,5300 S Harper,Asian,Parking in no parking zone and expired registration,No
89,N/A,3/30/2017 9:14 PM,Verbal Warning,Male,Traffic Sign/Signal,5418 Drexel,Caucasian,Ran stop sign,No
90,N/A,3/31/2017 3:09 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S University,African American,Ran stop sign,No
91,N/A,3/31/2017 8:53 PM,Verbal Warning,Male,Lane Violation,5800 S Kenwood,Caucasian,Wrong way on one way street,No
92,N/A,4/2/2017 9:48 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance and Ellis,African American,Disobeyed traffic control device,No
93,N/A,4/3/2017 10:59 PM,Verbal Warning,Female,Traffic Sign/Signal,1130 Midway Plaisance,African American,Ran red light,No
94,N/A,4/4/2017 11:56 AM,Verbal Warning,Male,Lane Violation,843 E 54th,African American,Wrong way on one way street,No
95,N/A,4/4/2017 7:04 PM,Verbal Warning,Male,Traffic Sign/Signal,5807 S Woodlawn,Caucasian,Ran stop sign,No
96,N/A,4/5/2017 2:29 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 Blackstone,Caucasian,Disobeyed traffic control device,No
97,N/A,4/7/2017 2:00 PM,Verbal Warning,Male,Lane Violation,5700 S Woodlawn,African American,Wrong way on one way street,No
98,N/A,4/7/2017 6:34 PM,Verbal Warning,Female,Lane Violation,1415 E 52nd,African American,Wrong way on one way street,No
99,N/A,4/7/2017 8:31 PM,Verbal Warning,Male,Lane Violation,6000 S Drexel,Asian,Wrong way on one way street,No
100,N/A,4/8/2017 12:31 PM,Verbal Warning,Female,Traffic Sign/Signal,5447 S Ellis,Caucasian,Ran stop sign,No
101,N/A,4/8/2017 7:20 PM,Verbal Warning,Male,Lane Violation,5450 S University,American Indian/Alaskan Native,Wrong way on one way street,No
102,N/A,4/8/2017 10:28 PM,Verbal Warning,Male,Lane Violation,5500 S University,African American,Illegal U-Turn,No
103,One citation issued,4/9/2017 9:22 PM,Citation issued,Male,Traffic Sign/Signal,5100 S Cornell,African American,Ran red light,No
104,One citation issued,4/12/2017 7:25 PM,Citation Issued,Male,Traffic Sign/Signal,6100 S Kimbark,African American,Ran red light,No
105,N/A,4/12/2017 8:39 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
106,N/A,4/13/2017 10:18 AM,Verbal Warning,Female,Lane Violation,5600 S University,Caucasian,Wrong way on one way road,No
107,N/A,4/13/2017 4:00 PM,Verbal Warning,Female,Lane Violation,6100 S University,African American,Improper overtaking,No
108,N/A,4/13/2017 10:04 PM,Verbal Warning,Male,Speed,5100 S Cornell,Caucasian,Speeding,No
109,N/A,4/13/2017 10:06 PM,Verbal Warning,Female,Traffic Sign/Signal,5600 S University,Asian,Failure to yield to pedestrian in crosswalk,No
110,N/A,4/14/2017 10:35 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S. HYDE PARK BLVD,African American,Disobeyed Stop Sign,No
111,N/A,4/14/2017 10:38 AM,Verbal Warning,Male,Speed,5300 S. KENWOOD,African American,Speeding,No
112,One citation issued,4/14/2017 2:38 PM,Citation Issued,Male,Traffic Sign/Signal,5500 S. UNIVERSITY,Asian,Failure to yield to pedestrian in crosswalk,No
113,N/A,4/14/2017 4:34 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S. COTTAGE,Asian,Disobeyed Stop Sign,No
114,N/A,4/15/2017 12:13 PM,Verbal Warning,Male,Speed,1311 E. MIDWAY PLAISANCE,African American,Speeding,No
115,N/A,4/16/2017 12:37 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S. HARPER,African American,Disobeyed traffic control device,No
116,N/A,4/16/2017 12:38 AM,Verbal Warning,Male,Moving Violation - Other,5500 S. KENWOOD,African American,Failure to yield,No
117,N/A,4/16/2017 2:22 PM,Verbal Warning,Male,Lane Violation,5800 S. KENWOOD,African American,Wrong way on one way street,No
118,N/A,4/17/2017 11:43 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,Asian,Failure to yield to pedestrian in crosswalk,No
119,N/A,4/18/2017 5:13 PM,Verbal Warning,Male,Traffic Sign/Signal,1348 E Hyde Park,African American,Failure to yield to pedestrian in crosswalk,No
120,N/A,4/21/2017 1:39 PM,Verbal Warning,Female,Traffic Sign/Signal,5900 S Woodlawn,African American,Disobeyed traffic control device,No
121,One citation issued,4/21/2017 5:24 PM,Citation Issued,Female,Traffic Sign/Signal,6300 S University,African American,Ran red light,No
122,One citation issued,4/21/2017 7:56 PM,Citation Issued,Male,Traffic Sign/Signal,5319 S Woodlawn,Caucasian,Ran red light,No
123,N/A,4/22/2017 4:08 PM,Verbal Warning,Male,Traffic Sign/Signal,1200 E 55th,Caucasian,Failure to yield to pedestrian in crosswalk,No
124,N/A,4/22/2017 4:45 PM,Verbal Warning,Female,Lane Violation,5121 S University,African American,Wrong way on one way road,No
125,N/A,4/22/2017 8:05 PM,Verbal Warning,Female,Traffic Sign/Signal,5600 S Kimbark,Caucasian,Failure to yield to pedestrian in crosswalk,No
126,N/A,4/22/2017 9:11 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Ran stop sign,No
127,N/A,4/23/2017 2:50 PM,Verbal Warning,Female,Lane Violation,5600 S Woodlawn,Caucasian,Wrong way on one way road,No
128,N/A,4/23/2017 5:47 PM,Verbal Warning,Female,Traffic Sign/Signal,5319 S Woodlawn,African American,Disobeyed traffic control device,No
129,One citation issued,4/23/2017 8:38 PM,Citation issued,Female,Traffic Sign/Signal,5900 S Cottage Grove,African American,Disobeyed traffic control device,No
130,N/A,4/25/2017 8:39 AM,Verbal Warning,Female,Lane Violation,5524 Woodlawn,African American,Wrong way on one way,No
131,N/A,4/25/2017 9:05 AM,Verbal Warning,Female,Lane Violation,5500 Woodlawn,African American,Improper overtaking,No
132,N/A,4/25/2017 11:02 PM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Ellis,African American,Ran stop sign,No
133,Two citations issued for running stop sign and no insurance,4/28/2017 2:15 PM,Citation issued,Female,Traffic Sign/Signal,1009 E 53rd,African American,Ran stop sign,No
134,N/A,4/28/2017 7:56 PM,Verbal Warning,Male,Lane Violation,5900 S Cornell,African American,Wrong way on one way road,No
135,N/A,4/29/2017 3:55 PM,Verbal Warning,Male,Traffic Sign/Signal,5000 Dorchester,African American,Ran stop sign,No
136,Arrested for DUI,4/29/2017 9:31 PM,Citation issued,Male,Lane Violation,1520 E 57th,Hispanic,Wrong way on one way road,Yes
137,N/A,4/30/2017 11:27 AM,Verbal Warning,Male,Lane Violation,6300 Ellis,African American,Wrong way on one way road,No
138,N/A,4/30/2017 3:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 Lake Park,Asian,Ran stop sign,No
139,N/A,4/30/2017 5:10 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 Woodlawn,African American,Ran stop sign,No
140,Two citations issued,5/1/2017 11:40 AM,Citation issued,Female,Traffic Sign/Signal,5230 S Woodlawn,Hispanic,Disobeyed traffic control device,No
141,Two citations issued,5/1/2017 11:40 AM,Citation issued,Male,Traffic Sign/Signal,4700 S Ellis,African American,Ran stop sign,No
142,N/A,5/2/2017 11:41 AM,Verbal Warning,Male,Traffic Sign/Signal,5700 S Cottage Grove,African American,Disobeyed traffic control device,No
143,Two citations issued,5/2/2017 8:13 PM,Citation issued,Male,Traffic Sign/Signal,5633 S Woodlawn,African American,Ran red light,No
144,N/A,5/3/2017 11:11 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 Greenwood,African American,Ran stop sign,No
145,N/A,5/3/2017 8:24 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S University,African American,Failure to yield to pedestrian in crosswalk,No
146,N/A,5/4/2017 9:52 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
147,N/A,5/5/2017 4:10 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
148,Two citations issued,5/5/2017 9:46 PM,Citation issued,Male,Lane Violation,6102 S Ellis,African American,Improper U-Turn,No
149,N/A,5/6/2017 11:51 AM,Verbal Warning,Female,Traffic Sign/Signal,6200 S Stony Island,African American,Ran stop sign,No
150,N/A,5/6/2017 10:58 PM,Verbal Warning,Male,Lane Violation,6300 S Greenwood,African American,Wrong way on a one way street,No
151,Two citations issued,5/7/2017 3:18 AM,Citation issued,Female,Traffic Sign/Signal,5800 S Payne,African American,Disobeyed traffic control device,No
152,N/A,5/8/2017 2:39 PM,Verbal Warning,Female,Moving Violation - Other,4500 Cottage Grove,African American,Disobeyed crossing guard,No
153,N/A,5/9/2017 12:43 PM,Verbal Warning,Male,Lane Violation,6200 Dorchester,African American,Failure to signal,No
154,N/A,5/11/2017 21:05 PM,Verbal Warning,Female,Lane Violation,5700 S. DORCHESTER,African American,Wrong way on one way street,No
155,N/A,5/11/2017 22:28 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S. COTTAGE GROVE,African American,Disobeyed traffic control device,No
156,N/A,5/12/2017 4:28 AM,Verbal Warning,Female,Lane Violation,6300 S. Greenwood,African American,Improper lane usage,No
157,N/A,5/12/2017 9:05 AM,Verbal Warning,Female,Traffic Sign/Signal,4921 S Dorchester,African American,Ran stop sign,No
158,N/A,5/12/2017 5:43 PM,Verbal Warning,Male,Traffic Sign/Signal,1000 E Midway Plaisance,African American,Ran red light,No
159,N/A,5/13/2017 2:03 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Blackstone,African American,Ran stop sign,No
160,One citation issued,5/14/2017 2:35 PM,Citation issued,Female,Traffic Sign/Signal,5422 S Dorchester,African American,Ran stop sign,No
161,Two citations issued,5/14/2017 5:45 PM,Citation Issued,Male,Traffic Sign/Signal,6300 S Dorchester,African American,Disobeyed traffic control device,No
162,N/A,5/14/2017 10:08 PM,Verbal Warning,Male,Lane Violation,5300 S Cottage Grove,Native Hawaiian/Other Pacific Islander,Driving on wrong side of road,No
163,N/A,5/15/2017 8:47 AM,Verbal Warning,Female,Lane Violation,6000 S Stony Island,African American,Improper turn,No
164,N/A,5/15/2017 8:46 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance and Woodlawn,Caucasian,Ran stop sign,No
165,N/A,5/15/2017 10:13 PM,Verbal Warning,Male,Traffic Sign/Signal,1421 E 53rd,African American,Ran stop sign,No
166,N/A,5/16/2017 10:24 AM,Verbal Warning,Female,Traffic Sign/Signal,5530 S Ellis,Caucasian,Failure to yield to pedestrian in crosswalk,No
167,N/A,5/16/2017 2:37 PM,Verbal Warning,Female,Traffic Sign/Signal,6200 S Ellis,African American,Ran stop sign,No
168,N/A,5/17/2017 1:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S Stony Island,Caucasian,Disobeyed traffic control device,No
169,Two citations issued,5/17/2017 3:54 PM,Citation issued,Female,Lane Violation,5800 S Stony Island,African American,Improper passing,No
170,N/A,5/18/2017 12:20 PM,Verbal Warning,Male,Traffic Sign/Signal,1207 E 55th,African American,Failure to yield to pedestrian in crosswalk,No
171,N/A,5/18/2017 1:45 PM,Verbal Warning,Male,Traffic Sign/Signal,5220 S Dorchester,African American,Ran stop sign,No
172,One citation issued,5/18/2017 5:00 PM,Citation issued,Female,Traffic Sign/Signal,5500 S Ellis,African American,Ran stop sign,No
173,N/A,5/18/2017 7:39 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Woodlawn,African American,Ran red light,No
174,N/A,5/20/2017 2:56 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kimbark,African American,Failure to yield to pedestrian in crosswalk,No
175,N/A,5/20/2017 10:45 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Kimbark,African American,Ran red light,No
176,N/A,5/21/2017 12:02 PM,Verbal Warning,Male,Lane Violation,5145 S University,Asian,Wrong way on a one way street,No
177,One citation issued,5/22/2017 2:20 PM,Citation issued,Female,Traffic Sign/Signal,5300 S University,African American,Ran stop sign,No
178,N/A,5/22/2017 6:07 PM,Verbal Warning,Female,Traffic Sign/Signal,5807 S Woodlawn,African American,Ran stop sign,No
179,N/A,5/23/2017 10:55 AM,Verbal Warning,Male,Lane Violation,1000 Midway Plaisance,African American,Wrong way on a one way street,No
180,N/A,5/23/2017 12:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Bicyclist ran red light,No
181,N/A,5/23/2017 1:24 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Cornell,Caucasian,Ran stop sign,No
182,N/A,5/23/2017 8:32 PM,Verbal Warning,Female,Lane Violation,6200 S Dorchester,African American,Wrong way on a one way street,No
183,N/A,5/24/2017 12:14 AM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Harper,Caucasian,Ran stop sign,No
184,N/A,5/25/2017 4:58 PM,Verbal Warning,Female,Lane Violation,5500 S Payne Dr.,Asian,Improper lane usage,No
185,N/A,5/27/2017 1:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Failure to yield to pedestrian in crosswalk,No
186,Two citations issued,5/27/2017 2:13 PM,Citation issued,Female,Traffic Sign/Signal,5500 S Lake Park,African American,Ran stop sign,No
187,N/A,5/28/2017 11:41 AM,Verbal Warning,Male,Traffic Sign/Signal,6300 University,African American,Ran stop sign,No
188,N/A,5/29/2017 12:39 PM,Verbal Warning,Female,Lane Violation,5800 S University,Caucasian,Improper lane usage,No
189,N/A,5/29/2017 9:56 PM,Verbal Warning,Male,Traffic Sign/Signal,6000 Woodlawn,African American,Ran stop sign,No
190,N/A,5/30/2017 11:39 AM,Verbal Warning,Female,Lane Violation,5300 S Lake Park,Caucasian,Improper turn,No
191,Two citations issued,5/30/2017 9:16 PM,Citation issued,Female,Lane Violation,6200 S Dorchester,African American,Wrong way on one way road,No
192,N/A,5/31/2017 12:28 PM,Verbal Warning,Male,Lane Violation,5400 Cottage Grove,African American,Improper passing,No
193,One citation issued,5/31/2017 3:46 PM,Citation issued,Male,Traffic Sign/Signal,5640 Blackstone,African American,Ran stop sign,No
194,One citation issued,6/1/2017 10:02 AM,Citation issued,Male,Traffic Sign/Signal,5807 Woodlawn,Asian,Ran red light,No
195,Four citations issued,6/1/2017 1:20 PM,Citation issued,Male,Moving Violation - Other,5100 S Greenwood,African American,Driving on sidewalk,No
196,N/A,6/2/2017 10:08 AM,Verbal Warning,Male,Lane Violation,5130 S Drexel,African American,Improper lane usage,No
197,N/A,6/2/2017 4:45 PM,Verbal Warning,Male,Traffic Sign/Signal,4500 S Drexel,African American,Ran stop sign,No
198,N/A,6/2/2017 9:33 PM,Verbal Warning,Male,Lane Violation,1003 E 49th,African American,Failure to signal,No
199,N/A,6/3/2017 2:10 PM,Verbal Warning,Female,Traffic Sign/Signal,6300 S Stony Island,African American,Failure to yield to pedestrian in crosswalk,No
200,N/A,6/4/2017 2:27 AM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Cottage Grove,African American,Ran red light,No
201,N/A,6/4/2017 3:03 AM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Shore Dr.,African American,Ran stop sign,No
202,N/A,6/4/2017 12:44 PM,Verbal Warning,Male,Speed,E Midway Plaisance,African American,Speeding,No
203,Two citations issued,6/4/2017 1:01 PM,Citation issued,Male,Speed,5759 S Ingleside,African American,Speeding,No
