,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
0,Two citations issued for disobeying traffic control device and parking in roadway,1/3/2017 4:51 AM,Citation issued,Male,Traffic Sign/Signal,Midway Plaisance and Cottage Grove,African American,Disobeyed traffic control device,No
1,Citation issued for suspended plates,1/3/2016 9:57 PM,Citation issued,Male,Speed,5500 S Everett,African American,Speeding,No
2,N/A,1/5/2017 5:56 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Drexel,Asian,Disobeyed traffic control device,No
3,N/A,1/6/2017 11:53 AM,Verbal Warning,Male,Lane Violation,5900 S Ellis,African American,Wrong way on one way road,No
4,N/A,1/6/2017 9:42 PM,Verbal Warning,Male,Traffic Sign/Signal,969 E 60th,African American,Ran stop sign,No
5,One citation issued for disobeying traffic control device,1/7/2017 2:28 PM,Citation issued,Male,Traffic Sign/Signal,Midway and Woodlawn,African American,Ran red light,No
6,N/A,1/8/2017 12:20 PM,Verbal Warning,Male,Traffic Sign/Signal,1151 E Hyde Park,African American,Ran stop sign,No
7,One citation issued for expired registration,1/8/2017 3:56 PM,Citation issued,Male,Lane Violation,5300 S Lake Park,African American,Wrong way on one way road,No
8,N/A,1/9/2017 2:33 PM,Verbal Warning,Female,Traffic Sign/Signal,4917 S Drexel,African American,Ran stop sign,No
9,N/A,1/10/2017 1:28PM,Verbal Warning,Female,Lane Violation,5700 S University,Caucasian,Wrong way on one way road,No
10,N/A,1/15/2017 7:23 PM,Verbal Warning,Male,Traffic Sign/Signal,5200 Harper,Hispanic,Disobeyed Stop Sign,No
11,N/A,1/17/2017 9:48 AM,Verbal Warning,Male,Lane Violation,6300 S UNIVERSITY,Caucasian,Wrong way on one way street,No
12,N/A,1/17/2017 12:11 PM,Verbal Warning,Female,Traffic Sign/Signal,6000 S KENWOOD,Caucasian,Disobeyed Stop Sign,No
13,N/A,1/20/2017 5:01 PM,Verbal Warning,Male,Lane Violation,5225 S Harper,African American,Wrong way on one way street,No
14,N/A,1/24/2017 12:11 PM,Verbal Warning,Male,Lane Violation,900 E. MIDWAY PLAISANCE,Asian,Improper lane usage,No
15,N/A,1/24/2017 1:58 PM,Verbal Warning,Male,Lane Violation,1201 E. MIDWAY PLAISANCE,Caucasian,Improper lane usage,No
16,No,8:42 AM 5700 S Stony Island,N/A,Failure to yield to crossing guard,Verbal Warning,Caucasian,Female,Traffic Sign/Signal,
17,No,8:51 AM 5600 S Stony Island,N/A,Failure to yield to crossing guard,Verbal Warning,African American,Male,Traffic Sign/Signal,
18,One citation issued for disobeying traffic control device,1/31/2017 9:57 AM,Citation Issued,Female,Traffic Sign/Signal,6100 S Ingleside,African American,Ran stop sign,No
19,N/A,1/31/2017 11:40 PM,Verbal Warning,Female,Lane Violation,5100 S Cornell,African American,Improper turn,No
20,N/A,2/2/2017 10:36 AM,Verbal Warning,Male,Traffic Sign/Signal,6120 S Cottage Grove,African American,Disobeyed traffic control device,No
