,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
80,One citation issued for disobeying traffic control device,9/7/2016 4:40 PM,Citation issued,Female,Traffic Sign/Signal,5530 S Ellis,Caucasian,Ran stop sign,No
81,N/A,9/8/2016 8:40 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Greenwood,African American,Ran red light,No
82,N/A,9/8/2016 4:06 PM,Verbal Warning,Female,Traffic Sign/Signal,1301 E 57th,African American,Ran stop sign,No
83,N/A,9/8/2016 4:17 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kimbark,African American,Ran stop sign,No
84,Two citations issued for speeding and suspended DL,9/10/2016 10:53 AM,Citation issued,Male,Speed,1100 E Midway Plaisance,African American,Speeding,No
85,N/A,9/12/2016 12:35 PM,Verbal Warning,Male,Traffic Sign/Signal,1406 E 53rd,African American,Disobeyed traffic control device,No
86,Two citations issued for disobeying traffic control device and no valid driver's license,9/13/2016 2:43 AM,Citation issued,Male,Traffic Sign/Signal,5600 S Ellis,Hispanic,Ran stop sign,No
87,N/A,9/16/2016 9:00 AM,Verbal Warning,Male,Traffic Sign/Signal,850 E Midway Plaisance,African American,Failed to yield to pedestrian in crosswalk,No
88,N/A,9/16/2016 4:46 PM,Verbal Warning,Male,Seatbelt,5700 S Kimbark,Caucasian,R/O observed small child hanging out of rear window,No
89,N/A,9/16/2016 4:51 PM,Verbal Warning,Male,Lane Violation,5700 S Kenwood,Caucasian,Wrong way on one way street,No
90,N/A,9/19/2016 4:28 PM,Verbal Warning,Male,Traffic Sign/Signal,945 E 52nd,African American,Ran stop sign,No
91,N/A,9/19/2016 5:02 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Woodlawn,Asian,Failure to yield to pedestrian in crosswalk,No
92,Two citations issued for disobeying traffic control device and suspended license,9/19/2016 6:34 PM,Citation Issued,Female,Traffic Sign/Signal,6000 Dorchester,African American,Ran stop sign,No
93,N/A,9/21/2016 2:05 PM,Verbal Warning,Male,Traffic Sign/Signal,5430 S Lake Park,African American,Failure to yield to pedestrian in crosswalk,No
94,N/A,9/21/2016 4:49 PM,Verbal Warning,Female,Traffic Sign/Signal,5700 S University,Caucasian,Ran stop sign,No
95,N/A,9/21/2016 9:48 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Improper passing,No
96,N/A,9/22/2016 8:15 AM,Verbal Warning,Male,Speed,1155 E Midway Plaisance,African American,Speeding,No
97,N/A,9/22/2016 8:31 AM,Verbal Warning,Female,Speed,1200 E Midway Plaisance,African American,Speeding,No
98,N/A,9/22/2016 8:55 AM,Verbal Warning,Male,Speed,1200 E Midway Plaisance,African American,Speeding,No
99,N/A,9/22/2016 1:54 PM,Verbal Warning,Female,Lane Violation,5700 S Blackstone,African American,Wrong way on one way road,No
100,Two citations issued for wrong way on one way street and no insurance,9/25/16 7:23 AM,Citation Issued,Male,Lane Violation,6300 S Kimbark,African American,Wrong way on one way road,No
101,N/A,9/25/16 5:18 PM,Verbal Warning,Male,Lane Violation,5240 S Kenwood,Caucasian,Improper U-Turn,No
102,N/A,9/25/16 7:57 PM,Verbal Warning,Male,Lane Violation,1463 E 55th,Asian,Wrong way on one way road,No
103,N/A,9/26/2016 8:52 AM,Verbal Warning,Female,Speed,1155 E Midway Plaisance,African American,Speeding,No
104,N/A,9/26/2016 9:04 AM,Verbal Warning,Male,Speed,Woodlawn and Midway Plaisance,Caucasian,Speeding,No
105,N/A,9/26/2016 9:22 AM,Verbal Warning,Female,Speed,6000 S Woodlawn,Hispanic,Speeding,No
106,Two citations issued for speeding and suspended DL,9/27/2016 8:51 AM,Citation Issued,Female,Speed,1255 E Midway Plaisance,African American,Speeding,No
107,N/A,9/27/2016 11:36 AM,Verbal Warning,Male,Traffic Sign/Signal,6300 S Drexel,African American,Ran stop sign,No
108,N/A,9/27/2016 5:06 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,Caucasian,Ran red light,No
109,Two citations issued for disobeying traffic control device and revoked driver's license,9/27/2016 7:47 PM,Verbal Warning,Male,Traffic Sign/Signal,6200 S Ellis,African American,Ran stop sign,No
110,N/A,9/28/2016 4:51 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 Woodlawn,African American,Disobeyed traffic control device,No
111,N/A,9/30/2016 10:39 AM,Verbal Warning,Male,Traffic Sign/Signal,1318 S 51st,Caucasian,Ran red light,No
112,N/A,10/1/2016 9:41 PM,Verbal Warning,Female,Traffic Sign/Signal,5400 S Hyde Park,African American,Ran stop sign,No
113,N/A,10/2/2016 9:01 AM,Verbal Warning,Female,Traffic Sign/Signal,6026 S Dorchester,Asian,Ran red light,No
114,N/A,10/2/2016 6:05 PM,Verbal Warning,Male,Lane Violation,1359 E 52nd,American Indian/Alaskan Native,Wrong way on one way street,No
115,N/A,10/2/2016 7:40 PM,Verbal Warning,Male,Lane Violation,E/B Midway Plaisance & Woodlawn,African American,Wrong way on one way street,No
116,N/A,10/3/2016 9:00 AM,Verbal Warning,Female,Speed,930 E Midway Plaisance,African American,Speeding,No
117,N/A,10/3/2016 9:45 AM,Verbal Warning,Female,Speed,930 E Midway Plaisance,African American,Speeding,No
118,N/A,10/3/2016 1:20 PM,Verbal Warning,Female,Traffic Sign/Signal,832 E Midway,African American,Failure to yield to pedestrian in crosswalk,No
119,Two citations issued for disobeying traffic control device and suspended license,10/5/2016 12:17 AM,Citation issued,Male,Traffic Sign/Signal,5900 Woodlawn,African American,Ran stop sign,No
120,N/A,10/6/2015 8:10 PM,Verbal Warning,Female,Lane Violation,6000 S Drexel,African American,Wrong way on one way street,No
121,N/A,10/8/2016 10:24 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 Dorchester,Hispanic,Ran stop sign,No
122,N/A,10/9/2016 8:10 PM,Verbal Warning,Male,Traffic Sign/Signal,6300 Stony Island,African American,Ran stop sign,No
123,N/A,10/10/2016 8:28 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S University,Caucasian,Failure to yield to pedestrian in crosswalk,No
124,N/A,10/10/2016 10:15 PM,Verbal Warning,Male,Equipment,Midway Plaisance and Cottage Grove,African American,Equipment malfunction (alarm),No
125,N/A,10/13/2016 2:34 PM,Verbal Warning,Male,Traffic Sign/Signal,900 E Midway,African American,Ran red light,No
126,N/A,10/14/2016 11:38 AM,Verbal Warning,Female,Lane Violation,855 E 58th,Caucasian,Illegal turn in front of CTA bus,No
127,N/A,10/15/2016 1:13 AM,Verbal Warning,Male,Lane Violation,5100 S East End,Caucasian,Failure to signal,No
128,N/A,10/15/2016 9:34 AM,Verbal Warning,Female,Traffic Sign/Signal,5800 S Woodlawn,Caucasian,Disobeyed traffic control device,No
129,N/A,10/15/2016 12:31 PM,Verbal Warning,Female,Speed,6000 S Woodlawn,African American,Speeding,No
130,N/A,10/16/2016 12:04 PM,Verbal Warning,Male,Lane Violation,5100 S Kenwood,African American,Failure to signal,No
131,Two citations issued for disobeying traffic control device and suspended license,10/16/2016 4:27 PM,Citation Issued,Male,Traffic Sign/Signal,5900 S Cottage Grove,African American,Ran red light,No
132,N/A,10/17/2016 9:44 PM,Verbal Warning,Female,Traffic Sign/Signal,5000 Drexel,African American,Ran red light,No
133,N/A,10/18/2016 10:24 AM,Verbal Warning,Male,Lane Violation,5700 S Kenwood,Caucasian,Wrong way on one way street,No
134,N/A,10/20/2016 3:18 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,African American,Ran stop sign,No
135,N/A,10/20/2016 7:38 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S University,African American,Failure to yield to pedestrian in crosswalk,No
136,N/A,10/22/2016 2:57 PM,Verbal Warning,Male,Lane Violation,5727 S Dorchester,African American,Wrong way on one way street,No
137,N/A,10/22/2016 5:04 PM,Verbal Warning,Male,Traffic Sign/Signal,5408 S Ellis,African American,Ran stop sign,No
